Reference,Raison
STRASBOURG-PARIS_010,Pas de référence dans le CSV
TOULOUSE-POITIERS_010,Pas de référence dans le CSV
POITIERS-PARIS_198,Pas de référence dans le CSV
POITIERS-TOULOUSE_010,Pas de référence dans le CSV
RENNES-PARIS_BALCON_MARILYN,Pas de référence dans le CSV
PARIS-POITIERS_206,Pas de référence dans le CSV
PARIS-STRASBOURG_009,Pas de référence dans le CSV
MARSEILLE-PARIS_021,Pas de référence dans le CSV
PARIS-STRASBOURG_008,Pas de référence dans le CSV
PARIS-POITIERS_207,Pas de référence dans le CSV
PARIS-POITIERS_205,Pas de référence dans le CSV
POITIERS-BORDEAUX_015,Pas de référence dans le CSV
PARIS-POITIERS_204,Pas de référence dans le CSV
NANTES-PARIS_010,Pas de référence dans le CSV
PARIS-RENNES_BALCON_MARILYN,Pas de référence dans le CSV
PARIS-LILLE_020,Pas de référence dans le CSV
PARIS-LILLE_021,Pas de référence dans le CSV
POITIERS-NANTES_010,Pas de référence dans le CSV
PARIS-POITIERS_203,Pas de référence dans le CSV
PARIS-POITIERS_202,Pas de référence dans le CSV
PARIS-MARSEILLE_021,Pas de référence dans le CSV
POITIERS-NANTES_009,Pas de référence dans le CSV
RENNES-PARIS_DARBOUX_JEROME,Pas de référence dans le CSV
NANTES-PARIS_009,Pas de référence dans le CSV
BORDEAUX-POITIERS_015,Pas de référence dans le CSV
PARIS-STRASBOURG_010,Pas de référence dans le CSV
POITIERS-PARIS_193,Pas de référence dans le CSV
POITIERS-PARIS_192,Pas de référence dans le CSV
PARIS-RENNES_DARBOUX_JEROME,Pas de référence dans le CSV
LILLE-PARIS_021,Pas de référence dans le CSV
POITIERS-PARIS_191,Pas de référence dans le CSV
POITIERS-TOULOUSE_009,Pas de référence dans le CSV
STRASBOURG-PARIS_008,Pas de référence dans le CSV
POITIERS-PARIS_195,Pas de référence dans le CSV
TOULOUSE-POITIERS_009,Pas de référence dans le CSV
POITIERS-PARIS_194,Pas de référence dans le CSV
STRASBOURG-PARIS_009,Pas de référence dans le CSV
POITIERS-PARIS_196,Pas de référence dans le CSV
POITIERS-PARIS_197,Pas de référence dans le CSV
